id,data,time
22704,899,2023-10-20 10:36:18.330668
22705,899,2023-10-20 10:36:18.910674
22706,899,2023-10-20 10:36:19.331686
22707,899,2023-10-20 10:36:19.909691
22708,1004,2023-10-20 10:36:20.331688
22709,1004,2023-10-20 10:36:20.909723
22710,574,2023-10-20 10:36:21.330668
22711,574,2023-10-20 10:36:21.910675
22712,574,2023-10-20 10:36:22.331667
22713,574,2023-10-20 10:36:22.910824
22714,388,2023-10-20 10:36:23.331699
22715,388,2023-10-20 10:36:23.910670
22716,388,2023-10-20 10:36:24.331736
22717,388,2023-10-20 10:36:24.909699
22718,777,2023-10-20 10:36:25.331683
22719,777,2023-10-20 10:36:25.909664
